OABN,BIM
OABT,BST
OAIX,BPM
OACC,CCN
OAFZ,FBD
OAFR,FAH
OAGZ,GRG
OAHR,HEA
OAJL,JAA
OAKB,KBL
OAKN,KDH
OAKS,KHT
OAHN,KWH
OAUZ,UND
OAMN,MMZ
OAMS,MZR
OASN,SGA
OAZJ,ZAJ
LATI,TIA
DAUA,AZR
DAAG,ALG
DABB,AAE
DAAE,BJA
DATM,BMW
DAAD,BUJ
DABC,CZL
DAAJ,DJG
DAUE,ELG
DAUO,ELU
DAUG,GHA
DAUH,HME
DATG,INF
DAUI,INZ
DAAV,GJL
DAOO,ORN
DAUU,OGX
DAAT,TMR
DABS,TEE
DAOB,TID
DAUT,TMX
DAON,TLM
DAUK,TGR
DAUZ,IAM
FNAM,AZZ
FNBG,BUG
FNCA,CAB
FNHU,NOV
FNKU,SVP
FNLU,LAD
FNUB,SDD
FNUE,LUO
FNBC,SSY
FNMA,MEG
FNME,SPP
FNGI,NGV
FNZE,ARZ
FNNG,GXG
FNPA,PBN
FNSA,VHC
FNSO,SZA
FNUG,UGO
FNWK,CEO
FNXA,XGN
TQPF,AXA
TAPH,BBQ
TAPA,ANU
SAVR,ARR
SAZB,BHI
SAZS,BRC
SABE,AEP
SANC,CTC
SAVC,CRD
SACO,COR
SAVE,EQS
SAEZ,EZE
SARF,FMA
SAZG,GPO
SANL,IRJ
SAMM,LGS
SAZM,MDQ
SAME,MDZ
SAAP,PRA
SARP,PSS
SARI,IGR
SAVY,PMY
SATR,RCQ
SARE,RES
SAOC,RCU
SAWG,RGL
SAWE,RGA
SAAR,ROS
SASA,SLA
SADF,FDO
SANU,UAQ
SAOU,LUQ
SAMR,AFA
SAZR,RSA
SANE,SDE
SANT,TUC
SAWH,USH
SAVV,VDM
SAOR,VME
UGEE,EVN
TNCA,AUA
YPAD,ADL
YABA,ALH
YMAY,ABX
YBAS,ASP
YAPH,ABH
YARA,ARY
YARM,ARM
YAVV,AVV
YBNS,BSJ
YBNA,BNK
YBRN,BZD
YSBK,BWU
YBTH,BHS
YBTI,BRT
YBIE,BEU
YBLA,BLN
YBCK,BKQ
YBTR,BLT
YBOU,BQL
YBKE,BRK
YBRW,BWQ
YHOT,MHU
YBBN,BNE
YBHI,BHQ
YBRM,BME
YBUD,BDB
YWYY,BWT
YBLN,BQB
YBCS,CNS
YMHB,HBA
YSCN,CDU
YSCB,CBR
YCAR,CVQ
YCDU,CED
YBCV,CTL
YCCA,CCL
YPXM,XCH
YCMT,CMQ
YCEE,CVC
YCCY,CNJ
YCBA,CAZ
YPCC,CCK
YCOE,CUQ
YSCH,CFS
YCBR,CRB
YCBP,CPD
YBCG,OOL
YCOM,OOM
YCBB,COJ
YCNM,CNB
YCTM,CMD
YCOR,CWW
YCRG,CYG
YCWR,CWT
YCKI,CKI
YCUE,CUY
YPDN,DRW
YDLQ,DNO
YDBY,DRB
YDPO,DPO
YDBI,DRN
YSDU,DBO
YDYS,DYA
YECH,ECH
YELD,ELC
YEML,EMD
YESP,EPR
YMEN,MEB
YPLM,LEA
YFTZ,FIZ
YFLI,FLS
YFBS,FRB
YFRT,FOS
YGEL,GET
YGLA,GLT
YGLI,GLI
YGLB,GUL
YGFN,GFN
YGTH,GFF
YGTE,GTE
YGDH,GUH
YHLC,HCQ
YHML,HLT
YBHM,HTI
YHAY,HXX
YHBA,HVB
YHPN,HTU
YHID,HID
YHSM,HSM
YIVL,IVR
YPJT,JAD
YPKG,KGI
YPKA,KTA
YKMB,KRB
YKMP,KPS
YKER,KRA
YKII,KNS
YKRY,KGY
YKSC,KGC
YKOW,KWM
YPKU,KNX
YMLT,LST
YLEC,LGH
YLST,LER
YLEO,LNO
YLRD,LHG
YLIS,LSY
YLHR,IRG
YLRE,LRE
YLHI,LDH
YBMK,MKY
YMCO,XMC
YMGD,MNG
YMBA,MRG
YBMC,MCY
YSSY,SYD
YMEK,MKR
YSNB,SNB
YGPT,GPN
YMER,MIM
YMIA,MQL
YMMB,MBW
YMRB,MOV
YMOR,MRZ
YMRY,MYA
YLTV,LTB
